pair,score,n_contribs_in_window,tightest_gap_days,pair_total_usd,n_contribs_total,member,party,state,entity_id,bioguide
ELI LILLY AND COMPANY -> Mark R. Warner,5000.0,1,29.0,10000.0,2,Mark R. Warner,Democrat,VA,622,W000805
AMERICAN PUBLIC POWER ASSOCIATION -> David Kustoff,5000.0,1,29.0,6000.0,2,David Kustoff,Republican,TN,496,K000392
AMERICAN LAND TITLE ASSOCIATION -> Andrew R. Garbarino,5000.0,2,29.0,37500.0,11,Andrew R. Garbarino,Republican,NY,388,G000597
NATIONAL ASSOCIATION OF BROADCASTERS -> Steven Horsford,5000.0,1,29.0,16000.0,4,Steven Horsford,Democrat,NV,325,H001066
"EBAY, INC. -> Chuck Grassley",5000.0,1,30.0,7500.0,2,Chuck Grassley,Republican,IA,1957,G000386
SIEMENS CORPORATION -> Charles E. Schumer,5000.0,1,30.0,10000.0,3,Charles E. Schumer,Democrat,NY,1952,S000148
"AMAZON.COM SERVICES, INC. -> Donald S. Beyer, Jr.",5000.0,1,30.0,17500.0,5,"Donald S. Beyer, Jr.",Democrat,VA,1225,B001292
GENERAL ATOMICS -> Jerry Moran,5000.0,1,31.0,21500.0,6,Jerry Moran,Republican,KS,1257,M000934
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> James A. Himes,5000.0,1,31.0,23000.0,5,James A. Himes,Democrat,CT,200,H001047
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Ann Wagner,5000.0,2,31.0,16500.0,5,Ann Wagner,Republican,MO,145,W000812
AMERICAN EXPRESS COMPANY -> Tim Scott,5000.0,1,32.0,30000.0,7,Tim Scott,Republican,SC,1848,S001184
MICROSOFT CORPORATION -> Darren Soto,5000.0,1,33.0,8500.0,3,Darren Soto,Democrat,FL,1875,S001200
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Roger F. Wicker",5000.0,1,33.0,36000.0,17,Roger F. Wicker,Republican,MS,697,W000437
"WALMART INC. -> Henry C. ""Hank"" Johnson, Jr.",5000.0,2,34.0,9500.0,6,"Henry C. ""Hank"" Johnson, Jr.",Democrat,GA,1881,J000288
AMERICAN ACADEMY OF OPHTHALMOLOGY -> Gus M. Bilirakis,5000.0,2,34.0,15000.0,7,Gus M. Bilirakis,Republican,FL,481,B001257
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Cindy Hyde-Smith",5000.0,1,34.0,5000.0,1,Cindy Hyde-Smith,Republican,MS,402,H001079
WALMART INC. -> Charles E. Schumer,5000.0,1,35.0,15000.0,3,Charles E. Schumer,Democrat,NY,1881,S000148
MICROSOFT CORPORATION -> Yvette D. Clarke,5000.0,1,35.0,16500.0,5,Yvette D. Clarke,Democrat,NY,1875,C001067
MICROSOFT CORPORATION -> Jerry Moran,5000.0,1,35.0,25500.0,8,Jerry Moran,Republican,KS,1875,M000934
UNION PACIFIC CORPORATION -> John Hoeven,5000.0,1,35.0,22500.0,5,John Hoeven,Republican,ND,1465,H001061
"ALASKA AIRLINES, INC. -> Rick Larsen",5000.0,1,37.0,20000.0,5,Rick Larsen,Democrat,WA,1337,L000560
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Harold Rogers,5000.0,1,37.0,25000.0,5,Harold Rogers,Republican,KY,651,R000395
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> John Cornyn",5000.0,1,37.0,20000.0,4,John Cornyn,Republican,TX,402,C001056
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> John Fetterman",5000.0,1,37.0,10000.0,2,John Fetterman,Democrat,PA,61,F000479
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Mike Crapo",5000.0,1,38.0,9000.0,2,Mike Crapo,Republican,ID,402,C000880
NATIONAL ASSOCIATION OF BROADCASTERS -> Doris O. Matsui,5000.0,1,38.0,30000.0,6,Doris O. Matsui,Democrat,CA,325,M001163
MICROSOFT CORPORATION -> Kevin Cramer,5000.0,1,39.0,26000.0,6,Kevin Cramer,Republican,ND,1875,C001096
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Debbie Wasserman Schultz,5000.0,1,39.0,22100.0,6,Debbie Wasserman Schultz,Democrat,FL,145,W000797
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Yvette D. Clarke,5000.0,1,39.0,12500.0,3,Yvette D. Clarke,Democrat,NY,75,C001067
FAIR ISAAC CORPORATION (DBA FICO) -> Joyce Beatty,5000.0,1,41.0,20800.0,5,Joyce Beatty,Democrat,OH,1294,B001281
SAFARI CLUB INTERNATIONAL -> Richard Hudson,5000.0,1,41.0,12500.0,4,Richard Hudson,Republican,NC,1172,H001067
"THE HOME DEPOT, INC. -> Julia Letlow",5000.0,1,41.0,22500.0,6,Julia Letlow,Republican,LA,679,L000595
CVS HEALTH (AND SUBSIDIARIES) -> Mike Crapo,5000.0,1,42.0,17500.0,6,Mike Crapo,Republican,ID,1230,C000880
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Doris O. Matsui,5000.0,2,42.0,37000.0,9,Doris O. Matsui,Democrat,CA,635,M001163
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Mark R. Warner,5000.0,1,42.0,25000.0,6,Mark R. Warner,Democrat,VA,635,W000805
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Pete Ricketts",5000.0,1,42.0,17500.0,5,Pete Ricketts,Republican,NE,402,R000618
AMERICAN HOTEL & LODGING ASSOCIATION -> Bill Cassidy,5000.0,1,42.0,12500.0,3,Bill Cassidy,Republican,LA,156,C001075
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Steny H. Hoyer",5000.0,1,43.0,22500.0,5,Steny H. Hoyer,Democrat,MD,1249,H000874
NATIONAL BUSINESS AVIATION ASSOCIATION INC -> Troy E. Nehls,5000.0,1,43.0,10000.0,2,Troy E. Nehls,Republican,TX,389,N000026
AMERICAN ASSOCIATION OF NURSE ANESTHETISTS -> Chris Pappas,5000.0,1,44.0,5000.0,1,Chris Pappas,Democrat,NH,244,P000614
CVS HEALTH (AND SUBSIDIARIES) -> Richard E. Neal,5000.0,1,45.0,37500.0,8,Richard E. Neal,Democrat,MA,1230,N000015
NATIONAL PORK PRODUCERS COUNCIL -> Randy Feenstra,5000.0,1,46.0,15000.0,3,Randy Feenstra,Republican,IA,405,F000446
MICROSOFT CORPORATION -> Shelley Moore Capito,5000.0,1,47.0,12500.0,4,Shelley Moore Capito,Republican,WV,1875,C001047
MICROSOFT CORPORATION -> Adriano Espaillat,5000.0,1,47.0,6000.0,2,Adriano Espaillat,Democrat,NY,1875,E000297
NATIONAL ASSOCIATION OF BROADCASTERS -> Marsha Blackburn,5000.0,1,47.0,10500.0,4,Marsha Blackburn,Republican,TN,325,B001243
NATIONAL ASSOCIATION OF BROADCASTERS -> Martin Heinrich,5000.0,1,47.0,30000.0,6,Martin Heinrich,Democrat,NM,325,H001046
BOEING COMPANY -> Adam Smith,5000.0,1,48.0,44500.0,17,Adam Smith,Democrat,WA,1942,S000510
WALMART INC. -> John Barrasso,5000.0,1,48.0,25000.0,9,John Barrasso,Republican,WY,1881,B001261
NORFOLK SOUTHERN CORPORATION -> Roger F. Wicker,5000.0,2,49.0,25000.0,7,Roger F. Wicker,Republican,MS,1256,W000437
CVS HEALTH (AND SUBSIDIARIES) -> Gus M. Bilirakis,5000.0,1,49.0,21000.0,6,Gus M. Bilirakis,Republican,FL,1230,B001257
WELLS FARGO & COMPANY -> Charles E. Schumer,5000.0,1,49.0,5000.0,1,Charles E. Schumer,Democrat,NY,658,S000148
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Brian Babin,5000.0,1,49.0,25000.0,6,Brian Babin,Republican,TX,651,B001291
"PFIZER, INC. -> Frank Pallone, Jr.",5000.0,1,50.0,26000.0,10,"Frank Pallone, Jr.",Democrat,NJ,1879,P000034
"THE HOME DEPOT, INC. -> Janice D. Schakowsky",5000.0,1,50.0,17500.0,4,Janice D. Schakowsky,Democrat,IL,679,S001145
"BLUE ORIGIN, LLC -> Ted Cruz",5000.0,1,51.0,6000.0,3,Ted Cruz,Republican,TX,1253,C001098
CSX CORPORATION -> Charles E. Schumer,5000.0,1,52.0,10000.0,2,Charles E. Schumer,Democrat,NY,1959,S000148
AMERICAN HOTEL & LODGING ASSOCIATION -> Amy Klobuchar,5000.0,1,52.0,15000.0,3,Amy Klobuchar,Democrat,MN,156,K000367
AMERICAN HOTEL & LODGING ASSOCIATION -> Jerry Moran,5000.0,1,52.0,20000.0,4,Jerry Moran,Republican,KS,156,M000934
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Richard E. Neal",5000.0,1,53.0,37500.0,9,Richard E. Neal,Democrat,MA,1249,N000015
NATIONAL ASSOCIATION OF BROADCASTERS -> Jeanne Shaheen,5000.0,1,53.0,10000.0,2,Jeanne Shaheen,Democrat,NH,325,S001181
AMERICAN FOREST & PAPER ASSOCIATION -> Dan Newhouse,5000.0,1,53.0,17500.0,4,Dan Newhouse,Republican,WA,207,N000189
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Sharice Davids,5000.0,1,53.0,10500.0,4,Sharice Davids,Democrat,KS,157,D000629
"L3HARRIS TECHNOLOGIES, INC. -> Jim Banks",5000.0,1,54.0,25000.0,7,Jim Banks,Republican,IN,1774,B001299
ABBOTT LABORATORIES -> Richard E. Neal,5000.0,1,54.0,40000.0,8,Richard E. Neal,Democrat,MA,1239,N000015
WELLS FARGO & COMPANY -> Lance Gooden,5000.0,1,55.0,8500.0,2,Lance Gooden,Republican,TX,658,G000589
BLUE CROSS AND BLUE SHIELD ASSOCIATION -> Lauren Underwood,5000.0,1,55.0,6000.0,3,Lauren Underwood,Democrat,IL,256,U000040
ALZHEIMER'S ASSOCIATION -> Tim Kaine,5000.0,1,56.0,5000.0,1,Tim Kaine,Democrat,VA,1340,K000384
NATIONAL FOOTBALL LEAGUE -> John Cornyn,5000.0,1,57.0,9500.0,4,John Cornyn,Republican,TX,641,C001056
NATIONAL FOOTBALL LEAGUE -> Hakeem S. Jeffries,5000.0,1,57.0,25000.0,5,Hakeem S. Jeffries,Democrat,NY,641,J000294
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Susie Lee,5000.0,1,57.0,26300.0,8,Susie Lee,Democrat,NV,145,L000590
"DAVITA, INC. -> Bill Cassidy",5000.0,1,58.0,10250.0,3,Bill Cassidy,Republican,LA,1898,C001075
MICROSOFT CORPORATION -> Nancy Pelosi,5000.0,1,58.0,5000.0,1,Nancy Pelosi,Democrat,CA,1875,P000197
NORFOLK SOUTHERN CORPORATION -> Pete Ricketts,5000.0,1,58.0,15000.0,3,Pete Ricketts,Republican,NE,1256,R000618
AMERICAN FINANCIAL SERVICES ASSOCIATION -> Andy Barr,5000.0,1,58.0,22500.0,7,Andy Barr,Republican,KY,482,B001282
AMERICAN LAND TITLE ASSOCIATION -> John Barrasso,5000.0,1,58.0,12500.0,4,John Barrasso,Republican,WY,388,B001261
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Cliff Bentz,5000.0,1,59.0,10000.0,2,Cliff Bentz,Republican,OR,145,B000668
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Elise M. Stefanik",5000.0,1,60.0,17500.0,5,Elise M. Stefanik,Republican,NY,1249,S001196
"SAMSUNG ELECTRONICS AMERICA, INC. -> John Cornyn",5000.0,1,60.0,24574.08,7,John Cornyn,Republican,TX,642,C001056
NUCOR CORPORATION -> Shelley Moore Capito,4866.45,1,30.0,24732.9,7,Shelley Moore Capito,Republican,WV,2041,C001047
MICROSOFT CORPORATION -> Ted Cruz,4800.0,3,33.0,9800.0,4,Ted Cruz,Republican,TX,1875,C001098
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Laura Gillen,4750.0,4,2.0,7250.0,6,Laura Gillen,Democrat,NY,157,G000602
GENERAL DYNAMICS CORPORATION -> Seth Magaziner,4500.0,3,1.0,30000.0,16,Seth Magaziner,Democrat,RI,1201,M001223
"BLUE ORIGIN, LLC -> Brian Babin",4500.0,3,6.0,16500.0,8,Brian Babin,Republican,TX,1253,B001291
WELLS FARGO & COMPANY -> Sean Casten,4500.0,3,7.0,11500.0,6,Sean Casten,Democrat,IL,658,C001117
WALMART INC. -> Veronica Escobar,4500.0,3,22.0,9500.0,5,Veronica Escobar,Democrat,TX,1881,E000299
GENERAL DYNAMICS CORPORATION -> John Hoeven,4500.0,2,42.0,21500.0,11,John Hoeven,Republican,ND,1201,H001061
"T-MOBILE USA, INC. -> Ron Wyden",4500.0,2,51.0,14500.0,6,Ron Wyden,Democrat,OR,615,W000779
"AMERICAN AIRLINES INC (FORMERLY REPORTED AS ""AMERICAN AIRLINES"") -> Ted Cruz",4100.0,2,28.0,11600.0,5,Ted Cruz,Republican,TX,1202,C001098
LEAGUE OF CONSERVATION VOTERS -> Summer L. Lee,4002.79,3,7.0,11602.79,12,Summer L. Lee,Democrat,PA,508,L000602
"AMAZON.COM SERVICES, INC. -> Sydney Kamlager-Dove",4000.0,3,4.0,11500.0,8,Sydney Kamlager-Dove,Democrat,CA,1225,K000400
CSX CORPORATION -> Roger F. Wicker,4000.0,1,13.0,20000.0,5,Roger F. Wicker,Republican,MS,1959,W000437
"BAE SYSTEMS, INC. -> Ashley Hinson",4000.0,3,14.0,22500.0,12,Ashley Hinson,Republican,IA,1304,H001091
BAXTER HEALTHCARE CORPORATION -> Charles E. Schumer,4000.0,3,15.0,5000.0,4,Charles E. Schumer,Democrat,NY,1280,S000148
BNSF RAILWAY COMPANY -> Deb Fischer,4000.0,1,20.0,17000.0,5,Deb Fischer,Republican,NE,1322,F000463
LEAGUE OF CONSERVATION VOTERS -> Marcy Kaptur,4000.0,2,29.0,11199.41,13,Marcy Kaptur,Democrat,OH,508,K000009
RECORDING INDUSTRY ASSOCIATION OF AMERICA INC -> Maria Elvira Salazar,4000.0,3,33.0,14000.0,11,Maria Elvira Salazar,Republican,FL,151,S000168
GENERAL MOTORS COMPANY -> Ted Cruz,4000.0,2,37.0,9500.0,5,Ted Cruz,Republican,TX,1208,C001098
MICROSOFT CORPORATION -> Mike Crapo,4000.0,1,59.0,10000.0,4,Mike Crapo,Republican,ID,1875,C000880
CVS HEALTH (AND SUBSIDIARIES) -> Adrian Smith,3750.0,2,12.0,11500.0,7,Adrian Smith,Republican,NE,1230,S001172
LEAGUE OF CONSERVATION VOTERS -> Jared Huffman,3568.5299999999997,6,3.0,6568.53,9,Jared Huffman,Democrat,CA,508,H001068
"SANOFI US SERVICES INC (FORMERLY KNOWN AS GENZYME CORPORATION) -> Earl L. ""Buddy"" Carter",3500.0,2,1.0,13500.0,6,"Earl L. ""Buddy"" Carter",Republican,GA,649,C001103
"AMERICAN AIRLINES INC (FORMERLY REPORTED AS ""AMERICAN AIRLINES"") -> Gabe Amo",3500.0,2,3.0,10100.0,4,Gabe Amo,Democrat,RI,1202,A000380
EXELON BUSINESS SERVICES LLC (FORMERLY KNOWN AS CONSTELLATION ENERGY GROUP) -> Carol D. Miller,3500.0,2,4.0,3500.0,2,Carol D. Miller,Republican,WV,747,M001205
ELANCO ANIMAL HEALTH INCORPORATED -> Jim Banks,3500.0,2,6.0,5500.0,3,Jim Banks,Republican,IN,797,B001299
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Darrell Issa",3500.0,3,6.0,7000.0,7,Darrell Issa,Republican,CA,402,I000056
WALMART INC. -> Danny K. Davis,3500.0,2,8.0,8000.0,6,Danny K. Davis,Democrat,IL,1881,D000096
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Robert Menendez",3500.0,2,13.0,30000.0,9,Robert Menendez,Democrat,NJ,61,M001226
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Tammy Duckworth,3500.0,2,14.0,3500.0,2,Tammy Duckworth,Democrat,IL,157,D000622
NUCOR CORPORATION -> Frank J. Mrvan,3500.0,2,15.0,21000.0,11,Frank J. Mrvan,Democrat,IN,2041,M001214
NATIONAL BUSINESS AVIATION ASSOCIATION INC -> Rick Larsen,3500.0,2,21.0,32000.0,18,Rick Larsen,Democrat,WA,389,L000560
WALMART INC. -> Juan Ciscomani,3500.0,3,22.0,11000.0,9,Juan Ciscomani,Republican,AZ,1881,C001133
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Andy Barr",3500.0,2,25.0,15500.0,7,Andy Barr,Republican,KY,402,B001282
"BAE SYSTEMS, INC. -> Margaret Wood Hassan",3500.0,3,28.0,23000.0,10,Margaret Wood Hassan,Democrat,NH,1304,H001076
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Jack Reed",3500.0,2,30.0,31000.0,11,Jack Reed,Democrat,RI,697,R000122
"EBAY, INC. -> Janice D. Schakowsky",3500.0,2,31.0,3500.0,2,Janice D. Schakowsky,Democrat,IL,1957,S001145
CTIA - THE WIRELESS ASSOCIATION -> Tim Kaine,3500.0,2,34.0,8500.0,5,Tim Kaine,Democrat,VA,327,K000384
"PRUDENTIAL FINANCIAL, INC. -> Steven Horsford",3500.0,2,36.0,6000.0,4,Steven Horsford,Democrat,NV,1237,H001066
"MICRON TECHNOLOGY, INC. -> Charles E. Schumer",3300.0,1,2.0,8300.0,2,Charles E. Schumer,Democrat,NY,1228,S000148
"CENTERPOINT ENERGY, INC. -> Ted Cruz",3300.0,1,17.0,3300.0,1,Ted Cruz,Republican,TX,1504,C001098
"PUBLIX SUPER MARKETS, INC. -> Laurel M. Lee",3300.0,1,22.0,21000.0,7,Laurel M. Lee,Republican,FL,905,L000597
"ROCKET LAB USA, INC. -> Martin Heinrich",3300.0,2,35.0,9100.0,4,Martin Heinrich,Democrat,NM,899,H001046
"MICRON TECHNOLOGY, INC. -> Mark R. Warner",3300.0,1,54.0,5000.0,2,Mark R. Warner,Democrat,VA,1228,W000805
LEAGUE OF CONSERVATION VOTERS -> Sean Casten,3050.0,5,3.0,6068.530000000001,9,Sean Casten,Democrat,IL,508,C001117
"AMAZON.COM SERVICES, INC. -> Bradley Scott Schneider",3000.0,1,2.0,14500.0,6,Bradley Scott Schneider,Democrat,IL,1225,S001190
"THE BUSINESS ROUNDTABLE, INC. -> John Barrasso",3000.0,3,4.0,7250.0,9,John Barrasso,Republican,WY,638,B001261
"THE GOLDMAN SACHS GROUP, INC. -> Sean Casten",3000.0,2,6.0,5000.0,4,Sean Casten,Democrat,IL,348,C001117
GENERAL MOTORS COMPANY -> Kristen McDonald Rivet,3000.0,2,9.0,6000.0,5,Kristen McDonald Rivet,Democrat,MI,1208,M001237
BOEING COMPANY -> Joe Courtney,3000.0,3,12.0,11000.0,7,Joe Courtney,Democrat,CT,1942,C001069
AMERICAN ASSOCIATION OF NURSE PRACTITIONERS -> John Barrasso,3000.0,1,12.0,8500.0,4,John Barrasso,Republican,WY,305,B001261
"AIRBNB, INC. -> Marsha Blackburn",3000.0,2,20.0,3000.0,2,Marsha Blackburn,Republican,TN,2018,B001243
COMCAST CORPORATION -> Yvette D. Clarke,3000.0,2,20.0,15000.0,7,Yvette D. Clarke,Democrat,NY,1874,C001067
"AMAZON.COM SERVICES, INC. -> Robin L. Kelly",3000.0,2,28.0,16150.0,9,Robin L. Kelly,Democrat,IL,1225,K000385
AMERICAN VETERINARY MEDICAL ASSOCIATION -> Adrian Smith,3000.0,1,28.0,11500.0,6,Adrian Smith,Republican,NE,411,S001172
"REINSURANCE GROUP OF AMERICA, INCORPORATED -> Ann Wagner",3000.0,2,34.0,13000.0,7,Ann Wagner,Republican,MO,428,W000812
WALMART INC. -> Ruben Gallego,3000.0,2,40.0,3000.0,2,Ruben Gallego,Democrat,AZ,1881,G000574
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Eric Swalwell",3000.0,2,41.0,16500.0,8,Eric Swalwell,Democrat,CA,61,S001193
CTIA - THE WIRELESS ASSOCIATION -> Yvette D. Clarke,3000.0,2,43.0,8000.0,6,Yvette D. Clarke,Democrat,NY,327,C001067
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Yvette D. Clarke,3000.0,1,55.0,31000.0,9,Yvette D. Clarke,Democrat,NY,635,C001067
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Vicente Gonzalez,2900.0,1,43.0,20000.0,6,Vicente Gonzalez,Democrat,TX,145,G000581
LEAGUE OF CONSERVATION VOTERS -> Sharice Davids,2850.8700000000003,4,1.0,8824.27,12,Sharice Davids,Democrat,KS,508,D000629
LEAGUE OF CONSERVATION VOTERS -> Susie Lee,2520.87,4,22.0,15751.62,18,Susie Lee,Democrat,NV,508,L000590
MICROSOFT CORPORATION -> Charles E. Schumer,2500.0,1,1.0,12500.0,4,Charles E. Schumer,Democrat,NY,1875,S000148
BNSF RAILWAY COMPANY -> Mike Rounds,2500.0,1,1.0,7500.0,2,Mike Rounds,Republican,SD,1322,R000605
"ENTERGY SERVICES, LLC -> Yvette D. Clarke",2500.0,2,1.0,16000.0,9,Yvette D. Clarke,Democrat,NY,1231,C001067
BERKSHIRE HATHAWAY ENERGY -> Scott H. Peters,2500.0,1,1.0,12500.0,4,Scott H. Peters,Democrat,CA,738,P000608
BLUE CROSS AND BLUE SHIELD ASSOCIATION -> Robin L. Kelly,2500.0,1,1.0,10500.0,3,Robin L. Kelly,Democrat,IL,256,K000385
NUTRIEN US LLC (FORMERLY KNOWN AS AGRIUM U.S. INC.) (A NUTRIEN LTD SUBSIDIARY) -> Cindy Hyde-Smith,2500.0,1,1.0,5500.0,4,Cindy Hyde-Smith,Republican,MS,139,H001079
NUCOR CORPORATION -> Steve Cohen,2500.0,1,2.0,6000.0,4,Steve Cohen,Democrat,TN,2041,C001068
WALMART INC. -> Chuck Edwards,2500.0,1,2.0,3500.0,2,Chuck Edwards,Republican,NC,1881,E000246
"AMAZON.COM SERVICES, INC. -> Bill Cassidy",2500.0,1,2.0,2500.0,1,Bill Cassidy,Republican,LA,1225,C001075
"CENTER FOR SPORTFISHING POLICY (FKA CENTER FOR COASTAL CONSERVATION) -> Earl L. ""Buddy"" Carter",2500.0,1,2.0,2500.0,1,"Earl L. ""Buddy"" Carter",Republican,GA,467,C001103
AMERICAN CLEAN POWER ASSOCIATION -> Andrew R. Garbarino,2500.0,1,2.0,13500.0,4,Andrew R. Garbarino,Republican,NY,331,G000597
WALGREEN COMPANY -> Adrian Smith,2500.0,1,3.0,10500.0,3,Adrian Smith,Republican,NE,1900,S001172
AMERICAN HOTEL & LODGING ASSOCIATION -> Tim Scott,2500.0,1,3.0,17500.0,5,Tim Scott,Republican,SC,156,S001184
"GENERAL DYNAMICS CORPORATION -> Angus S. King, Jr.",2500.0,1,4.0,27500.0,14,"Angus S. King, Jr.",Independent,ME,1201,K000383
BLACKROCK FUNDS SERVICES GROUP LLC (FORMERLY BLACKROCK CAPITAL MANAGEMENT INC.) -> Mike Flood,2500.0,1,4.0,7500.0,4,Mike Flood,Republican,NE,328,F000474
BLUE CROSS AND BLUE SHIELD ASSOCIATION -> Jack Reed,2500.0,1,4.0,2500.0,1,Jack Reed,Democrat,RI,256,R000122
AMERICAN HOTEL & LODGING ASSOCIATION -> Kathy Castor,2500.0,1,4.0,10000.0,5,Kathy Castor,Democrat,FL,156,C001066
"AMAZON.COM SERVICES, INC. -> Tom Cotton",2500.0,1,5.0,5000.0,2,Tom Cotton,Republican,AR,1225,C001095
WELLS FARGO & COMPANY -> Mark R. Warner,2500.0,1,5.0,25000.0,8,Mark R. Warner,Democrat,VA,658,W000805
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Roger Williams",2500.0,2,5.0,9500.0,6,Roger Williams,Republican,TX,402,W000816
ENBRIDGE (U.S.) INC. (FORMERLY SPECTRA ENERGY) -> Tom Barrett,2500.0,1,6.0,2500.0,1,Tom Barrett,Republican,MI,2234,B001321
MASTERCARD WORLDWIDE -> Andrew R. Garbarino,2500.0,1,6.0,12500.0,4,Andrew R. Garbarino,Republican,NY,1421,G000597
ELI LILLY AND COMPANY -> Jeanne Shaheen,2500.0,1,6.0,7500.0,2,Jeanne Shaheen,Democrat,NH,622,S001181
AMERICAN FINANCIAL SERVICES ASSOCIATION -> Sarah McBride,2500.0,1,6.0,7000.0,4,Sarah McBride,Democrat,DE,482,M001238
UNITED SERVICES AUTOMOBILE ASSOCIATION (USAA) -> Tammy Baldwin,2500.0,1,6.0,10000.0,3,Tammy Baldwin,Democrat,WI,351,B001230
"AMERICAN ASSOCIATION OF NURSE PRACTITIONERS -> Earl L. ""Buddy"" Carter",2500.0,1,6.0,12500.0,4,"Earl L. ""Buddy"" Carter",Republican,GA,305,C001103
MOLSON COORS BEVERAGE COMPANY USA LLC (FORMERLY KNOWN AS MILLERCOORS LLC) -> Tammy Baldwin,2500.0,1,6.0,14000.0,6,Tammy Baldwin,Democrat,WI,169,B001230
NATIONAL FOOTBALL LEAGUE -> Emanuel Cleaver,2500.0,1,7.0,2500.0,1,Emanuel Cleaver,Democrat,MO,641,C001061
HILTON WORLDWIDE -> Brian Schatz,2500.0,1,8.0,5000.0,2,Brian Schatz,Democrat,HI,1397,S001194
BANK OF AMERICA CORPORATION -> Andy Barr,2500.0,1,8.0,37000.0,12,Andy Barr,Republican,KY,821,B001282
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Tony Wied",2500.0,1,8.0,3500.0,2,Tony Wied,Republican,WI,402,W000829
AMERICAN ASSOCIATION OF NURSE PRACTITIONERS -> Bill Cassidy,2500.0,1,8.0,2500.0,1,Bill Cassidy,Republican,LA,305,C001075
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Jack Reed",2500.0,1,8.0,12500.0,5,Jack Reed,Democrat,RI,61,R000122
TIAA -> Joyce Beatty,2500.0,1,9.0,15000.0,6,Joyce Beatty,Democrat,OH,1998,B001281
NORTHROP GRUMMAN CORPORATION -> Mark R. Warner,2500.0,1,9.0,22500.0,6,Mark R. Warner,Democrat,VA,1372,W000805
"NOVO NORDISK, INC. -> Jeanne Shaheen",2500.0,1,9.0,4000.0,2,Jeanne Shaheen,Democrat,NH,1215,S001181
AMERICAN LAND TITLE ASSOCIATION -> Vicente Gonzalez,2500.0,1,9.0,12500.0,5,Vicente Gonzalez,Democrat,TX,388,G000581
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Laurel M. Lee,2500.0,1,10.0,6500.0,5,Laurel M. Lee,Republican,FL,75,L000597
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Mazie K. Hirono",2500.0,2,10.0,2500.0,2,Mazie K. Hirono,Democrat,HI,61,H001042
"NEXTERA ENERGY, INC. -> Martin Heinrich",2500.0,1,11.0,24000.0,6,Martin Heinrich,Democrat,NM,1212,H001046
NATIONAL FOOTBALL LEAGUE -> Frederica S. Wilson,2500.0,1,11.0,5000.0,2,Frederica S. Wilson,Democrat,FL,641,W000808
SOLAR ENERGY INDUSTRIES ASSOCIATION -> Kathy Castor,2500.0,1,11.0,7500.0,3,Kathy Castor,Democrat,FL,363,C001066
"CISCO SYSTEMS, INC. -> Darrell Issa",2500.0,1,12.0,5500.0,3,Darrell Issa,Republican,CA,1229,I000056
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Troy E. Nehls,2500.0,1,12.0,12500.0,3,Troy E. Nehls,Republican,TX,651,N000026
