entity,n_activities,n_filings,n_client_ids,first_year,last_year,n_years_span,raw_names_merged
MOSAIK SOLUTIONS LLC (NOW DBA OOKLA),2,2,1,2024,2024,1,MOSAIK SOLUTIONS LLC (NOW DBA OOKLA)
NATIONAL ASSOCIATION OF ASSISTANT UNITED STATES ATTORNEYS,2,2,1,2022,2022,1,NATIONAL ASSOCIATION OF ASSISTANT UNITED STATES ATTORNEYS
NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,2,2,1,2024,2024,1,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),2,2,1,2024,2024,1,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA)
NORC AT THE UNIVERSITY OF CHICAGO,2,2,1,2022,2022,1,NORC AT THE UNIVERSITY OF CHICAGO
"NOVA LABS, INC.",2,2,1,2024,2024,1,"NOVA LABS, INC."
"PALO ALTO NETWORKS, INC.",2,2,1,2024,2024,1,"PALO ALTO NETWORKS, INC."
PORTLAND GENERAL ELECTRIC,2,2,1,2022,2022,1,PORTLAND GENERAL ELECTRIC
PRINCIPAL FINANCIAL GROUP,2,2,1,2024,2024,1,PRINCIPAL FINANCIAL GROUP
PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION,2,2,1,2024,2024,1,PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION
PUBLIC CITIZEN,2,2,1,2022,2022,1,PUBLIC CITIZEN
PUBLIC KNOWLEDGE,2,2,1,2024,2024,1,PUBLIC KNOWLEDGE
REGIONS FINANCIAL CORP.,2,2,1,2023,2023,1,REGIONS FINANCIAL CORP.
ROCKET LP,2,2,1,2024,2024,1,ROCKET LP FKA RKT HOLDINGS
"SOCURE, INC.",2,2,1,2024,2025,2,"SOCURE, INC."
SPACE EXPLORATION TECHNOLOGIES CORP.,2,2,1,2022,2022,1,SPACE EXPLORATION TECHNOLOGIES CORP.
THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,2,2,1,2024,2024,1,THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE
TRANSUNION,2,2,1,2022,2022,1,TRANSUNION
UNIVERSITY OF PHOENIX,2,2,1,2022,2022,1,UNIVERSITY OF PHOENIX
VIZIO,2,2,1,2022,2022,1,VIZIO
VOLVO GROUP NORTH AMERICA LLC,2,2,1,2024,2024,1,VOLVO GROUP NORTH AMERICA LLC
WALGREEN CO.,2,2,1,2022,2022,1,WALGREEN CO.
"ZILLOW GROUP, INC.",2,2,1,2022,2022,1,"ZILLOW GROUP, INC."
ZIMMER BIOMET,2,2,1,2024,2024,1,ZIMMER BIOMET
ADVANCE PUBLICATIONS,1,1,1,2024,2024,1,ADVANCE PUBLICATIONS
ALABAMA FARMERS FEDERATION,1,1,1,2024,2024,1,ALABAMA FARMERS FEDERATION
ALIBABA GROUP HOLDING LIMITED,1,1,1,2022,2022,1,ALIBABA GROUP HOLDING LIMITED
AMERICAN BEVERAGE LICENSEES,1,1,1,2022,2022,1,AMERICAN BEVERAGE LICENSEES
AMERICAN SOCIETY OF HUMAN GENETICS,1,1,1,2022,2022,1,AMERICAN SOCIETY OF HUMAN GENETICS
ASSOCIATION OF AMERICAN UNIVERSITIES,1,1,1,2023,2023,1,ASSOCIATION OF AMERICAN UNIVERSITIES
BRENNAN CENTER FOR JUSTICE AT NEW YORK UNIVERSITY SCHOOL OF LAW,1,1,1,2024,2024,1,BRENNAN CENTER FOR JUSTICE AT NEW YORK UNIVERSITY SCHOOL OF LAW
BYTEDANCE INC.,1,1,1,2022,2022,1,BYTEDANCE INC.
CATERPILLAR INC,1,1,1,2024,2024,1,CATERPILLAR INC
CHAMBER OF COMMERCE OF THE U.S.A.,1,1,1,2023,2023,1,CHAMBER OF COMMERCE OF THE U.S.A.
CINCINNATI BELL INC (DBA ALTAFIBER) AND ITS SUBSIDIARIES,1,1,1,2022,2022,1,CINCINNATI BELL INC (DBA ALTAFIBER) AND ITS SUBSIDIARIES
COCA-COLA COMPANY,1,1,1,2024,2024,1,COCA-COLA COMPANY
"CONSTELLATION ENERGY GENERATION, LLC",1,1,1,2022,2022,1,"CONSTELLATION ENERGY GENERATION, LLC"
CUNA MUTUAL GROUP,1,1,1,2022,2022,1,CUNA MUTUAL GROUP
DENSO INTERNATIONAL AMERICA INC,1,1,1,2024,2024,1,DENSO INTERNATIONAL AMERICA INC
DUKE ENERGY CORPORATION,1,1,1,2022,2022,1,DUKE ENERGY CORPORATION
EDISON ELECTRIC INSTITUTE,1,1,1,2022,2022,1,EDISON ELECTRIC INSTITUTE
ENTERGY SERVICES LLC,1,1,1,2022,2022,1,ENTERGY SERVICES LLC
FIRST AMERICAN FINANCIAL CORPORATION,1,1,1,2022,2022,1,FIRST AMERICAN FINANCIAL CORPORATION
"FOUNDATION MEDICINE, INC.",1,1,1,2022,2022,1,"FOUNDATION MEDICINE, INC."
FOX CORPORATION,1,1,1,2024,2024,1,FOX CORPORATION
GAP INC.,1,1,1,2022,2022,1,GAP INC.
GENENTECH INC,1,1,1,2022,2022,1,GENENTECH INC
"GLOBAL PAYMENTS, INC.",1,1,1,2024,2024,1,"GLOBAL PAYMENTS, INC."
GRUBHUB HOLDINGS INC.,1,1,1,2024,2024,1,GRUBHUB HOLDINGS INC.
INDIANA CHAMBER OF COMMERCE INC,1,1,1,2024,2024,1,INDIANA CHAMBER OF COMMERCE INC
MAJOR COUNTY SHERIFFS OF AMERICA (FORMERLY MAJOR COUNTY SHERIFFS' ASSOCIATION),1,1,1,2022,2022,1,MAJOR COUNTY SHERIFFS OF AMERICA (FORMERLY MAJOR COUNTY SHERIFFS' ASSOCIATION)
MCDONALD'S CORPORATION,1,1,1,2024,2024,1,MCDONALD'S CORPORATION
"MCGRAW HILL, LLC",1,1,1,2022,2022,1,"MCGRAW HILL, LLC"
MERCEDES-BENZ USA (FKA DAIMLER/MERCEDES-BENZ USA,1,1,1,2024,2024,1,MERCEDES-BENZ USA (FKA DAIMLER/MERCEDES-BENZ USA
MOVEON.ORG CIVIC ACTION,1,1,1,2022,2022,1,MOVEON.ORG CIVIC ACTION
"NATIONAL ASSOCIATION OF INDEPENDENT SCHOOLS, INC.",1,1,1,2024,2024,1,"NATIONAL ASSOCIATION OF INDEPENDENT SCHOOLS, INC."
"NATIONAL ASSOCIATION OF POLICE ORGANIZATIONS, INC.",1,1,1,2022,2022,1,"NATIONAL ASSOCIATION OF POLICE ORGANIZATIONS, INC."
NATIONAL FAIR HOUSING ALLIANCE,1,1,1,2022,2022,1,NATIONAL FAIR HOUSING ALLIANCE
NATIONAL TAXPAYERS UNION,1,1,1,2022,2022,1,NATIONAL TAXPAYERS UNION
"NORTH AMERICAN SUBARU, INC.",1,1,1,2024,2024,1,"NORTH AMERICAN SUBARU, INC."
NRG ENERGY INC,1,1,1,2024,2024,1,NRG ENERGY INC
"OKTA, INC.",1,1,1,2022,2022,1,"OKTA, INC."
"PLANET FITNESS HOLDINGS, INC.",1,1,1,2022,2022,1,"PLANET FITNESS HOLDINGS, INC."
PLANNED PARENTHOOD FEDERATION OF AMERICA INC,1,1,1,2024,2024,1,PLANNED PARENTHOOD FEDERATION OF AMERICA INC
"RACETRAC, INC.",1,1,1,2024,2024,1,"RACETRAC, INC."
RAI SERVICES COMPANY,1,1,1,2022,2022,1,RAI SERVICES COMPANY
ROBERT BOSCH LLC,1,1,1,2022,2022,1,ROBERT BOSCH LLC
S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.),1,1,1,2024,2024,1,S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.)
"SIEMENS MEDICAL SOLUTIONS USA, INC",1,1,1,2023,2023,1,"SIEMENS MEDICAL SOLUTIONS USA, INC"
"SIX CONTINENTS HOTELS, INC.",1,1,1,2024,2024,1,"SIX CONTINENTS HOTELS, INC."
STATE OF CALIFORNIA,1,1,1,2024,2024,1,STATE OF CALIFORNIA
SUSAN B ANTHONY LIST,1,1,1,2024,2024,1,SUSAN B ANTHONY LIST
TATA AMERICA INTERNATIONAL CORPORATION,1,1,1,2024,2024,1,TATA AMERICA INTERNATIONAL CORPORATION
TRIPADVISOR LLC,1,1,1,2022,2022,1,TRIPADVISOR LLC
UNISYS CORPORATION,1,1,1,2022,2022,1,UNISYS CORPORATION
UPS (UNITED PARCEL SERVICE),1,1,1,2024,2024,1,UPS (UNITED PARCEL SERVICE)
