member,bioguide,registrant,relationship,roster_clients_represented,n_contribution_items,total_amount,first_date,last_date
Schakowsky,S001145,PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),in_house,PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),1,1000.0,2024-03-14,2024-03-14
Schakowsky,S001145,"MEHLMAN CONSULTING, INC.",third_party_firm,"CHUBB INA HOLDINGS, INC.; CLOUDFLARE; EPIC SYSTEMS CORPORATION; INDEED, INC.; INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI); NATIONAL RESTAURANT ASSOCIATION; NETFLIX, INC.; NOTARIZE, INC. DBA PROOF.COM; ONFIDO, INC.; PALO ALTO NETWORKS, INC.; RAPID7, INC.; RETAIL INDUSTRY LEADERS ASSOCIATION (RILA); ROCK CENTRAL; SAP AMERICA, INC.; THE BUSINESS ROUNDTABLE; TIKTOK INC.; TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN); TWILIO, INC.",2,1000.0,2024-09-06,2025-02-12
Schakowsky,S001145,ARNOLD & PORTER KAYE SCHOLER LLP,third_party_firm,MCGRAW-HILL EDUCATION; NORC AT THE UNIVERSITY OF CHICAGO,1,1000.0,2024-09-23,2024-09-23
Schakowsky,S001145,TRANS UNION LLC,in_house,TRANS UNION LLC,1,1000.0,2024-09-12,2024-09-12
Schakowsky,S001145,"SAP AMERICA, INC.",in_house,"SAP AMERICA, INC.",1,1000.0,2024-06-25,2024-06-25
Schakowsky,S001145,"MERCARI, INC.",in_house,"MERCARI, INC.",1,500.0,2022-06-23,2022-06-23
Schakowsky,S001145,GRUBHUB HOLDINGS INC.,in_house,GRUBHUB HOLDINGS INC.,1,500.0,2024-01-23,2024-01-23
Schakowsky,S001145,"TWINLOGIC STRATEGIES, LLP",third_party_firm,"DIRECTV, LLC; TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION",1,500.0,2022-04-05,2022-04-05
Schakowsky,S001145,BYTEDANCE INC.,in_house,BYTEDANCE INC.,1,250.0,2022-04-04,2022-04-04
Trahan,T000482,ALSTON & BIRD LLP,third_party_firm,INTERPUBLIC GROUP,9,11800.0,2022-03-31,2024-06-28
Trahan,T000482,AFLAC INCORPORATED,in_house,AFLAC INCORPORATED,5,11000.0,2023-07-20,2025-05-22
Trahan,T000482,GOOGLE CLIENT SERVICES LLC,in_house,GOOGLE CLIENT SERVICES LLC,3,11000.0,2023-09-08,2025-03-28
Trahan,T000482,AVENUE SOLUTIONS,third_party_firm,THE NONPROFIT ALLIANCE,8,10400.0,2022-03-30,2024-07-29
Trahan,T000482,CAPITOL COUNSEL LLC,third_party_firm,"INTUIT, INC. AND AFFILIATES; JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATIONS; VERIZON COMMUNICATIONS, INC.",13,10300.0,2022-03-09,2025-09-24
Trahan,T000482,"KOUNTOUPES DENHAM CARR & REID, LLC",third_party_firm,AIRBNB; AMERICAN CLINICAL LABORATORY ASSOCIATION; MOZILLA CORPORATION; PINTEREST INC.,8,10000.0,2022-03-31,2025-03-24
Trahan,T000482,"NVG, LLC",third_party_firm,ADVANCE PUBLICATIONS; AMERICAN ASSOCIATION FOR JUSTICE; COMCAST CORPORATION,19,7505.0,2022-03-30,2025-07-22
Trahan,T000482,"MEHLMAN CONSULTING, INC.",third_party_firm,"CHUBB INA HOLDINGS, INC.; CLOUDFLARE; EPIC SYSTEMS CORPORATION; INDEED, INC.; INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI); NATIONAL RESTAURANT ASSOCIATION; NETFLIX, INC.; NOTARIZE, INC. DBA PROOF.COM; ONFIDO, INC.; PALO ALTO NETWORKS, INC.; RAPID7, INC.; RETAIL INDUSTRY LEADERS ASSOCIATION (RILA); ROCK CENTRAL; SAP AMERICA, INC.; THE BUSINESS ROUNDTABLE; TIKTOK INC.; TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN); TWILIO, INC.",10,6705.0,2023-06-21,2025-06-26
Trahan,T000482,FINSECA,in_house,FINSECA,4,6500.0,2022-10-17,2024-10-31
Trahan,T000482,TIBER CREEK GROUP,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION; FINSECA; INFORMATION TECHNOLOGY INDUSTRY COUNCIL; SAP AMERICA INC.; THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY; UNITED SERVICES AUTOMOBILE ASSOCIATION,32,6160.0,2022-06-14,2025-06-01
Trahan,T000482,"PHILIPS HOLDING USA, INC.",third_party_firm,PHILIPS HOLDING USA INC.,2,5000.0,2024-08-08,2025-02-24
Trahan,T000482,OGR,third_party_firm,"AMERICAN BANKERS ASSOCIATION; AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION; AT&T SERVICES, INC.; BATH & BODY WORKS, INC.; CARVANA; CTIA-THE WIRELESS ASSOCIATION; DELL INC.; DIRECTV, LLC; ENTERTAINMENT SOFTWARE ASSOCIATION; META PLATFORMS, INC.; NIKE, INC.; PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA); UNITED STATES TELECOM ASSOCIATION; VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES; WELLS FARGO & COMPANY",3,5000.0,2024-06-27,2025-07-15
Trahan,T000482,"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",third_party_firm,TOYOTA MOTOR NORTH AMERICA INC (TMA),3,5000.0,2024-03-26,2025-06-24
Trahan,T000482,DLA PIPER LLP (US),third_party_firm,"AURA SUB, LLC",5,4500.0,2023-06-22,2024-09-24
Trahan,T000482,THORN RUN PARTNERS,third_party_firm,"COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME); COMCAST CORPORATION; EBAY INC; EQUIFAX INC.; JM FAMILY ENTERPRISES, INC; NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES; ONEMAIN FINANCIAL GROUP, LLC; PAYPAL; T-MOBILE USA, INC.",4,4000.0,2024-04-11,2024-06-29
Trahan,T000482,HOLLAND & KNIGHT LLP,third_party_firm,ALIBABA GROUP HOLDING LIMITED; THOMSON REUTERS,4,4000.0,2025-06-04,2025-06-04
Trahan,T000482,THE DUBERSTEIN GROUP INC.,third_party_firm,AMAZON.COM SERVICES LLC; MATCH GROUP,5,3600.0,2022-09-29,2024-06-11
Trahan,T000482,COX ENTERPRISES INC.,in_house,COX ENTERPRISES INC.,2,3500.0,2025-06-23,2025-11-13
Trahan,T000482,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,2,3500.0,2024-12-12,2025-04-15
Trahan,T000482,INVARIANT LLC,third_party_firm,"APPLE INC.; CLOAKED, INC.; EVENTBRITE, INC.; H&R BLOCK MANAGEMENT, LLC; MERCARI, INC.; NATIONAL ASSOCIATION OF REALTORS; NATIONAL RETAIL FEDERATION; NEWS/MEDIA ALLIANCE; NEXTDOOR; NIANTIC, INC.; PREMISE; SALESFORCE, INC.; SHOPIFY INC.; SPACE EXPLORATION TECHNOLOGIES CORP.; THE BUSINESS ROUNDTABLE; TOYOTA MOTOR NORTH AMERICA, INC.; WORKDAY, INC.",7,3000.0,2022-03-11,2025-07-29
Trahan,T000482,THE PROCTER AND GAMBLE COMPANY,in_house,THE PROCTER AND GAMBLE COMPANY,2,3000.0,2022-09-27,2023-12-06
Trahan,T000482,STANTON PARK GROUP,third_party_firm,"INTUIT, INC. AND AFFILIATES",3,3000.0,2024-09-18,2025-07-15
Trahan,T000482,SENTRY INSURANCE COMPANY (FORMERLY SENTRY INSURANCE A MUTUAL COMPANY),in_house,SENTRY INSURANCE COMPANY (FORMERLY SENTRY INSURANCE A MUTUAL COMPANY),1,2500.0,2025-05-06,2025-05-06
Trahan,T000482,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,in_house,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,1,2500.0,2025-06-02,2025-06-02
Trahan,T000482,FORBES-TATE,third_party_firm,"AMERICAN HONDA MOTOR CO., INC.; DIRECTV, LLC",4,2250.0,2022-03-31,2024-09-11
Trahan,T000482,"MEDTRONIC, INC.",in_house,MEDTRONIC INC,2,2000.0,2025-03-25,2025-09-19
Trahan,T000482,"GENENTECH, INC",third_party_firm,GENENTECH INC,2,2000.0,2023-10-09,2025-05-12
Trahan,T000482,VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES,third_party_firm,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES,4,2000.0,2023-09-25,2024-12-31
Trahan,T000482,"DISNEY WORLDWIDE SERVICES, INC.",third_party_firm,DISNEY WORLDWIDE SERVICES INC,2,2000.0,2024-06-24,2025-02-26
Trahan,T000482,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",in_house,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2,2000.0,2024-06-25,2025-07-31
Trahan,T000482,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),third_party_firm,AMERICAN HONDA MOTOR CO INC (FORMERLY HONDA NORTH AMERICA),2,1500.0,2023-06-26,2024-03-20
Trahan,T000482,"CROSSROADS STRATEGIES, LLC",third_party_firm,"AMERICAN LAND TITLE ASSOCIATION; AT&T SERVICES, INC.; AVENTIV TECHNOLOGIES LLC AND VARIOUS SUBSIDIARIES; CHUBB INA HOLDING COMPANY INC; CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS; DAPPER LABS INC.; DROPBOX, INC.; H&R BLOCK MANAGEMENT, LLC; KOCH GOVERNMENT AFFAIRS, LLC; KOHLER CO.; MARSH MCLENNAN; MORGAN STANLEY & CO LLC; NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES; SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA); TECHNET; TRANS UNION LLC; TRANSAMERICA COMPANIES; UNIVERSITY OF PHOENIX; VISA, INC.",2,1500.0,2025-03-14,2025-07-15
Trahan,T000482,CUNEO GILBERT & LADUCA,third_party_firm,AMERICAN ASSOCIATION FOR JUSTICE,4,1270.0,2024-05-07,2025-12-17
Trahan,T000482,AMEREN SERVICES,in_house,AMEREN SERVICES,3,1000.0,2023-05-14,2023-05-14
Trahan,T000482,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,in_house,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,1,1000.0,2024-04-14,2024-04-14
Trahan,T000482,"THEGROUP DC, LLC",third_party_firm,"META PLATFORMS, INC.",1,1000.0,2025-03-14,2025-03-14
Trahan,T000482,"NORTH AMERICAN SUBARU, INC.",in_house,"NORTH AMERICAN SUBARU, INC.",1,1000.0,2025-12-22,2025-12-22
Trahan,T000482,"WHITMER & WORRALL, LLC",third_party_firm,PANASONIC CORPORATION OF NORTH AMERICA,1,500.0,2025-03-27,2025-03-27
Trahan,T000482,SPOTIFY USA INC.,in_house,SPOTIFY USA INC.,1,500.0,2025-02-26,2025-02-26
Trahan,T000482,"WILLIAMS AND JENSEN, PLLC",third_party_firm,REINSURANCE ASSOCIATION OF AMERICA,1,500.0,2024-10-17,2024-10-17
Trahan,T000482,"ELEVATE GOVERNMENT AFFAIRS, LLC",third_party_firm,"LYTX, INC.; MICROSOFT CORPORATION",1,500.0,2025-03-21,2025-03-21
Trahan,T000482,AKIN GUMP STRAUSS HAUER & FELD,third_party_firm,"BUSINESS ROUNDTABLE; NATIONAL ASSOCIATION OF REALTORS; NCTA-THE INTERNET & TELEVISION ASSOCIATION; PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION; TRANSUNION; VERIZON COMMUNICATIONS; VISA, U.S.A., INC.",1,500.0,2024-03-27,2024-03-27
Trahan,T000482,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",third_party_firm,"GARMIN INTERNATIONAL, INC.; TARGET CORPORATION",1,500.0,2024-02-06,2024-02-06
