member,bioguide,registrant,relationship,roster_clients_represented,n_contribution_items,total_amount,first_date,last_date
Moran,M000934,CAPITAL ONE FINANCIAL CORPORATION,in_house,CAPITAL ONE FINANCIAL CORPORATION,6,25000.0,2022-07-23,2025-03-13
Moran,M000934,"KOCH GOVERNMENT AFFAIRS, LLC",in_house,"KOCH GOVERNMENT AFFAIRS, LLC",7,22500.0,2022-06-06,2025-09-18
Moran,M000934,AMERICAN BANKERS ASSOCIATION,in_house,AMERICAN BANKERS ASSOCIATION,4,20000.0,2022-03-04,2025-07-16
Moran,M000934,"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",third_party_firm,"CHARTER COMMUNICATIONS, INC.; GARMIN INTERNATIONAL, INC.; INTERNATIONAL FRANCHISE ASSOCIATION (IFA); MICROSOFT CORPORATION",9,18550.0,2022-08-08,2025-07-15
Moran,M000934,AKIN GUMP STRAUSS HAUER & FELD,third_party_firm,"BUSINESS ROUNDTABLE; NATIONAL ASSOCIATION OF REALTORS; NCTA-THE INTERNET & TELEVISION ASSOCIATION; PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION; TRANSUNION; VERIZON COMMUNICATIONS; VISA, U.S.A., INC.",13,12000.0,2022-03-21,2022-10-20
Moran,M000934,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",third_party_firm,"GARMIN INTERNATIONAL, INC.; TARGET CORPORATION",14,11500.0,2023-07-24,2025-09-30
Moran,M000934,ROCK CENTRAL,in_house,ROCK CENTRAL,3,10000.0,2022-03-24,2024-06-25
Moran,M000934,DLA PIPER LLP (US),third_party_firm,"AURA SUB, LLC",10,10000.0,2022-03-23,2022-09-20
Moran,M000934,AMERICAN LAND TITLE ASSOCIATION,in_house,AMERICAN LAND TITLE ASSOCIATION,4,10000.0,2022-05-24,2025-06-24
Moran,M000934,GOOGLE CLIENT SERVICES LLC,in_house,GOOGLE CLIENT SERVICES LLC,3,10000.0,2022-01-28,2022-06-17
Moran,M000934,AMAZON.COM SERVICES LLC,in_house,AMAZON.COM SERVICES LLC,3,10000.0,2023-07-14,2025-12-02
Moran,M000934,UNITED SERVICES AUTOMOBILE ASSOCIATION,in_house,UNITED SERVICES AUTOMOBILE ASSOCIATION,2,10000.0,2022-05-27,2022-05-27
Moran,M000934,THE HOME DEPOT,in_house,HOME DEPOT,2,10000.0,2022-04-27,2023-12-17
Moran,M000934,CONSUMER TECHNOLOGY ASSOCIATION,in_house,CONSUMER TECHNOLOGY ASSOCIATION,2,10000.0,2022-08-11,2023-07-28
Moran,M000934,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,third_party_firm,COMCAST CORPORATION,4,9500.0,2022-11-16,2025-07-22
Moran,M000934,THE NONPROFIT ALLIANCE,in_house,THE NONPROFIT ALLIANCE,8,9000.0,2022-02-16,2024-07-23
Moran,M000934,ARNOLD & PORTER KAYE SCHOLER LLP,third_party_firm,MCGRAW-HILL EDUCATION; NORC AT THE UNIVERSITY OF CHICAGO,3,9000.0,2022-05-16,2025-07-29
Moran,M000934,REINSURANCE ASSN OF AMERICA,in_house,REINSURANCE ASSN OF AMERICA,3,7500.0,2022-05-04,2022-05-04
Moran,M000934,AFLAC INCORPORATED,in_house,AFLAC INCORPORATED,2,7500.0,2023-07-20,2024-03-21
Moran,M000934,VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES,third_party_firm,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES,5,7500.0,2022-03-25,2024-06-25
Moran,M000934,PRIMERICA LIFE INSURANCE COMPANY,in_house,PRIMERICA LIFE INSURANCE COMPANY,3,7500.0,2022-06-21,2022-06-21
Moran,M000934,HOLLAND & KNIGHT LLP,third_party_firm,ALIBABA GROUP HOLDING LIMITED; THOMSON REUTERS,6,7000.0,2023-03-16,2025-06-06
Moran,M000934,"WILLIAMS AND JENSEN, PLLC",third_party_firm,REINSURANCE ASSOCIATION OF AMERICA,5,6000.0,2022-05-15,2025-08-02
Moran,M000934,CHAMBER OF COMMERCE OF THE U.S.A.,in_house,CHAMBER OF COMMERCE OF THE U.S.A.,3,5250.0,2022-03-11,2023-10-26
