registrant_name,client_name,filing_year,quarter,senate_income_sum,house_income_sum,score,senate_filing_uuids,house_filing_ids
PRICEWATERHOUSECOOPERS,TRGROUP (ALSO DOING BUSINESS AS ACT - ALLIANCE FOR COMPETITIVE TAXATION),2025,Q2,220000.0,110000.0,110000.0,"67096345-ddcc-443a-a7b7-470763598477,1ad6a240-6824-486a-91c9-1ec0a7bf2a74",301766442
ONMESSAGE PUBLIC STRATEGIES,MERIT SPREAD FOUNDATION INC.,2025,Q1,110000.0,220000.0,110000.0,"0a0724d4-4fb9-4dcc-8a71-c94043468ade,d8c3f024-ae14-4186-afc8-2193211d4f7d","301829107,301726812"
ONMESSAGE PUBLIC STRATEGIES,MERIT SPREAD FOUNDATION INC.,2025,Q2,110000.0,220000.0,110000.0,61c42481-1b26-4801-928a-de193b42ad01,"301829111,301765649"
ONMESSAGE PUBLIC STRATEGIES,MERIT SPREAD FOUNDATION INC.,2025,Q3,110000.0,220000.0,110000.0,37b4f9e6-2226-40c7-b400-6649a814f6a7,"301829114,301810373"
THE BERNHARDT GROUP LLC,EQUINOR US OPERATIONS LLC FKA EQUINOR,2025,Q3,220000.0,110000.0,110000.0,"48aff19c-2f54-4a17-a9a9-c731d0d87291,8bebde87-b75e-4d33-a124-4aed4137d16c,2815726f-419f-4239-aa8b-fc2bc9d13873,2df114f1-171e-4d76-bb12-4e6ce6c40140",301788346
"CGCN GROUP, LLC",AMERICAN PETROLEUM INSTITUTE (API),2022,Q2,210000.0,105000.0,105000.0,"c6caeb1c-85f4-4dd7-ad51-698da54eab98,5f345d27-c9f9-46cf-8de0-2de17a70154f",301384892
WILLIAM BALL,"GOVERNOR'S DEFENSE INITIATIVE, GEORGIA DEPT. OF ECONOMIC DEVELOPMENT",2023,Q4,60000.0,165000.0,105000.0,97284523-6d5a-4434-942f-66327e2629d4,"301543724,301545342,301545333,301543653"
PRICEWATERHOUSECOOPERS,AMERICAN COUNCIL OF LIFE INSURERS (ACLI),2025,Q2,200000.0,100000.0,100000.0,"73bbafac-bd26-44f1-a064-040456363e9d,abc92a93-2c75-46b2-822a-b49c86d8cfb7",301766443
SQUIRE PATTON BOGGS,STATE STREET STRATEGIES (DBA ONE+ STRATEGIES) OBO VIVEK SHARMA,2025,Q2,300000.0,200000.0,100000.0,"86f3ac26-5585-49b8-8573-cdf00e5f0a95,bf160f4f-f825-4fcc-8065-ab2a350dda6a,19029198-a324-49aa-b766-5f8e878765cf","301817339,301745363"
"MERCURY PUBLIC AFFAIRS, LLC",AITEO GROUP,2024,Q2,200000.0,100000.0,100000.0,"b9082fbb-9397-4255-8424-b739b15c57ab,105812f5-4ce5-4cee-b159-eb03c92c6a7e,f85e819d-39f4-4cdb-9ba3-47a222d401b0","301587302,301587293"
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",RTI INTERNATIONAL,2025,Q3,160000.0,60000.0,100000.0,"038bd254-2f3f-4be2-a7a9-80f44340bc93,efb7595d-d798-4733-8dc7-35b30cc861a6,f3addf3d-1ab2-44bc-9bb7-dea9e468a466",301782338
