member,bill_label,evidence_ref,filing_uuid,filing_year,filing_period,dt_posted,description_excerpt,lda_url
Vargas,Credit Union Board Modernization Act,E8,43e75f1f-32fe-40a2-92ee-b70fe92b74b7,2025,4th Quarter (Oct 1 - Dec 31),2026-01-12T15:01:24-05:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 144 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/43e75f1f-32fe-40a2-92ee-b70fe92b74b7/print/
Vargas,Credit Union Board Modernization Act,E8,93c9dba6-1595-4335-aecb-7d63567571c4,2026,1st Quarter (Jan 1 - Mar 31),2026-04-14T10:06:48-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 145 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/93c9dba6-1595-4335-aecb-7d63567571c4/print/
Gonzalez,Veterans Members Business Loans Act,E9,9cc0cbde-933f-45e6-96a0-7dc27424380c,2022,1st Quarter (Jan 1 - Mar 31),2022-04-20T10:35:15-04:00,Issues related to Federal Credit Union Charter Modernization Issues related to credit union operations Issues related to credit union field of membership Issues related to credit union service organization Issues related to NCUA's low income designation regulation Issues related to NCUA examination procedures Issues related to NCUA's regulation regarding liquidity Issues related to NCUA's rulemaki,https://lda.gov/filings/public/filing/9cc0cbde-933f-45e6-96a0-7dc27424380c/print/
Gonzalez,Veterans Members Business Loans Act,E9,25721fc4-1f04-4ca3-8605-505c358be92b,2022,2nd Quarter (Apr 1 - June 30),2022-07-19T21:05:21-04:00,Issues related to Federal Credit Union Charter Modernization Issues related to credit union operations Issues related to credit union field of membership Issues related to credit union service organization Issues related to NCUA's low income designation regulation Issues related to NCUA examination procedures Issues related to NCUA's regulation regarding liquidity Issues related to NCUA's rulemaki,https://lda.gov/filings/public/filing/25721fc4-1f04-4ca3-8605-505c358be92b/print/
Gonzalez,Veterans Members Business Loans Act,E9,e6a684ee-1be1-401b-8b68-c98cbf26cde5,2022,3rd Quarter (July 1 - Sep 30),2022-10-19T11:54:28-04:00,Issues related to Federal Credit Union Charter Modernization Issues related to credit union operations Issues related to credit union field of membership Issues related to credit union service organization Issues related to NCUA's low income designation regulation Issues related to NCUA examination procedures Issues related to NCUA's regulation regarding liquidity Issues related to NCUA's rulemaki,https://lda.gov/filings/public/filing/e6a684ee-1be1-401b-8b68-c98cbf26cde5/print/
Gonzalez,Veterans Members Business Loans Act,E9,be44faac-306d-4b19-b0b0-c540d9e65715,2022,4th Quarter (Oct 1 - Dec 31),2023-01-20T12:09:10-05:00,Issues related to Federal Credit Union Charter Modernization Issues related to credit union operations Issues related to credit union field of membership Issues related to credit union service organization Issues related to NCUA's low income designation regulation Issues related to NCUA examination procedures Issues related to NCUA's regulation regarding liquidity Issues related to NCUA's rulemaki,https://lda.gov/filings/public/filing/be44faac-306d-4b19-b0b0-c540d9e65715/print/
Gonzalez,Veterans Members Business Loans Act,E9,cedbd775-4c61-44f8-8092-1189c0bca271,2023,2nd Quarter (Apr 1 - June 30),2023-07-20T19:03:32-04:00,Issues related Credit Union Service Organizations Credit Card Interchange Fees - S1838 and HR 3881 Issues related to management and operation of Credit Unions CDFI Related issues Credit Union Tax Status Credit Union Field of Membership issues Credit Union Deposit Insurance Issues and premium assessments and Share Insurance Fund Housing Finance Reform Issues related to Credit Union Member Business ,https://lda.gov/filings/public/filing/cedbd775-4c61-44f8-8092-1189c0bca271/print/
Gonzalez,Veterans Members Business Loans Act,E9,14338b9a-1411-4d21-b369-42e198f59be4,2023,2nd Quarter (Apr 1 - June 30),2023-07-25T17:18:53-04:00,Issues related Credit Union Service Organizations Credit Card Interchange Fees - S1838 and HR 3881 - Credit Card Competition Act Issues related to management and operation of Credit Unions CDFI Related issues Credit Union Tax Status Credit Union Field of Membership issues Credit Union Deposit Insurance Issues and premium assessments and Share Insurance Fund Housing Finance Reform Issues related to,https://lda.gov/filings/public/filing/14338b9a-1411-4d21-b369-42e198f59be4/print/
Gonzalez,Veterans Members Business Loans Act,E9,5b20c9fa-6b7b-4716-899c-f83c5b7273fd,2023,2nd Quarter (Apr 1 - June 30),2024-01-22T12:40:00-05:00,Issues related Credit Union Service Organizations Issues related to Regulatory Relief Credit Card Interchange Fees - S1838 and HR 3881 - Credit Card Competition Act Issues related to management and operation of Credit Unions CDFI Related issues Credit Union Tax Status Credit Union Field of Membership issues Credit Union Deposit Insurance Issues and premium assessments and Share Insurance Fund Hous,https://lda.gov/filings/public/filing/5b20c9fa-6b7b-4716-899c-f83c5b7273fd/print/
Gonzalez,Veterans Members Business Loans Act,E9,137e9b45-97e5-4ae3-a1c2-21e79f200a78,2023,3rd Quarter (July 1 - Sep 30),2023-10-19T14:57:28-04:00,Issues related to Credit Union Service Organizations Credit Card Interchange Fees - S. 1838 and H.R. 3881 - Credit Card Competition Act of 2023 Issues related to management and operation of Credit Unions CDFI Related issues Credit Union Tax Status Credit Union Field of Membership issues Credit Union Deposit Insurance Issues and Premium Assessments and Share Insurance Fund Housing Finance Reform Is,https://lda.gov/filings/public/filing/137e9b45-97e5-4ae3-a1c2-21e79f200a78/print/
