member,bill_label,evidence_ref,congress,bill_type,number,official_title,sponsor_bioguide,sponsor_name,introduced_date,latest_action_date,latest_action_text,congress_gov_url
Beatty,Advancing the Mentor-Protege Program for Small Financial Institutions Act,E7-correction,119,HR,3709,Advancing the Mentor-Protégé Program for Small Financial Institutions Act,B001281,"Rep. Beatty, Joyce [D-OH-3]",2025-06-04,2026-05-13,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/119th-congress/house-bill/3709
Vargas,Credit Union Board Modernization Act,E8,118,HR,582,Credit Union Board Modernization Act,V000130,"Rep. Vargas, Juan [D-CA-52]",2023-01-26,2023-01-31,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/118th-congress/house-bill/582
Vargas,Credit Union Board Modernization Act,E8,119,HR,975,Credit Union Board Modernization Act,V000130,"Rep. Vargas, Juan [D-CA-52]",2025-02-04,2025-02-11,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/119th-congress/house-bill/975
Gonzalez,Veterans Member Business Loan Act,E9,118,HR,4867,Veterans Members Business Loan Act,G000581,"Rep. Gonzalez, Vicente [D-TX-34]",2023-07-25,2023-07-25,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/118th-congress/house-bill/4867
Gonzalez,Veterans Member Business Loan Act,E9,119,HR,507,Veterans Member Business Loan Act,G000581,"Rep. Gonzalez, Vicente [D-TX-34]",2025-01-16,2025-01-16,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/119th-congress/house-bill/507
Britt,STREAMLINE Act,press-hook-check,119,S,3017,STREAMLINE Act,K000393,"Sen. Kennedy, John [R-LA]",2025-10-20,2025-10-20,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/119th-congress/senate-bill/3017
Gonzalez,MORE Opportunities for Homeownership Act,press-hook-check,119,HR,7647,MORE Opportunities for Homeownership Act,G000581,"Rep. Gonzalez, Vicente [D-TX-34]",2026-02-23,2026-02-23,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/119th-congress/house-bill/7647
Peters,Housing Financial Literacy Act,E13,117,S,1490,Housing Financial Literacy Act of 2021,P000595,"Sen. Peters, Gary C. [D-MI]",2021-04-29,2021-04-29,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/117th-congress/senate-bill/1490
Peters,Housing Financial Literacy Act,E13,118,S,4542,Housing Financial Literacy Act of 2024,P000595,"Sen. Peters, Gary C. [D-MI]",2024-06-13,2024-06-13,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/118th-congress/senate-bill/4542
Budd,Secure Payments Act,E16,118,S,4570,Secure Payments Act of 2024,B001305,"Sen. Budd, Ted [R-NC]",2024-06-18,2024-06-18,"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",https://www.congress.gov/bill/118th-congress/senate-bill/4570
Vargas,Expanding Access to Lending Options Act (shared w/ Fitzgerald),E16,118,HR,6933,Expanding Access to Lending Options Act,F000471,"Rep. Fitzgerald, Scott [R-WI-5]",2024-01-10,2024-01-11,Sponsor introductory remarks on measure. (CR H67-68),https://www.congress.gov/bill/118th-congress/house-bill/6933
