registrant_name,registrant_id,dup_groups,excess_filings,score
LOC COMMUNITY ASSOCIATION,401108853,1,3,60000000.0
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",46038,35,63,1531500.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",7257,22,22,1510000.0
"ROBERTI GLOBAL (F/K/A ROBERTI WHITE, LLC)",400762305,3,3,1370000.0
BGR GOVERNMENT AFFAIRS,5357,15,15,1120000.0
BRACEWELL LLP,6837,11,13,1040000.0
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",400400892,33,36,1030000.0
"TARPLIN, DOWNS & YOUNG, LLC",304736,12,12,950000.0
J.A. GREEN AND COMPANY (FORMERLY LLC),313511,22,22,880000.0
"MERCURY PUBLIC AFFAIRS, LLC",70175,10,10,840000.0
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",75557,12,14,830000.0
S-3 GROUP,400774330,16,16,830000.0
PRICEWATERHOUSECOOPERS,10764,11,11,720000.0
"BALLARD PARTNERS, LLC",401104288,12,12,690000.0
FARRAGUT PARTNERS LLP,401103938,16,16,640000.0
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),401104718,12,13,630000.0
THORN RUN PARTNERS,400534596,18,18,620000.0
SQUIRE PATTON BOGGS,30906,7,7,610000.0
"FAHMY HUDOME INTERNATIONAL, INC",91411,9,11,610000.0
WASHINGTON GLOBAL ADVISORS LLC,401108685,11,12,595000.0
LOT SIXTEEN LLC,401104641,11,11,520000.0
WILMER CUTLER PICKERING HALE AND DORR LLP,41534,4,4,500000.0
LOBBYIT.COM,400487397,31,40,490000.0
"MERCHANT MCINTYRE & ASSOCIATES, LLC",401104322,23,23,450000.0
HART HEALTH STRATEGIES,84673,9,9,430000.0
MG HOUSING STRATEGIES LLC,401105996,11,12,430000.0
KILPATRICK TOWNSEND AND STOCKTON,21563,9,10,429000.0
HORIZONS GLOBAL SOLUTIONS LLC,401106159,10,11,424000.0
BOUNDARY STONE PARTNERS,401104556,8,9,420000.0
"EAST END GROUP, LLC",400646949,8,8,390000.0
FORBES-TATE,400976792,7,7,390000.0
"CASSIDY & ASSOCIATES, INC.",8453,8,8,380000.0
SMITH GARSON,35707,10,12,380000.0
"POLARIS GOVERNMENT RELATIONS, LLC",307730,7,7,380000.0
GORDON SMITH,401106638,1,1,380000.0
HEALTHSPERIEN,401103150,13,20,365000.0
STEPTOE LLP,36710,7,7,360000.0
"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",297033,6,6,360000.0
INVARIANT LLC,314237,5,5,360000.0
"CONTINENTAL STRATEGY, LLC",401106285,5,5,360000.0
COVINGTON & BURLING LLP,11195,3,3,350000.0
"HARBINGER STRATEGIES, LLC",401103523,5,5,330000.0
ALSTON & BIRD LLP,1182,5,5,320000.0
"MARCUS G. FAUST, PC",14223,7,10,310000.0
"MINDSET ADVOCACY, LLC",296271,9,9,310000.0
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),86196,7,7,300000.0
FTI GOVERNMENT AFFAIRS,401054971,6,6,295000.0
"GUIDEPOSTSTRATEGIES, LLC",401104428,5,6,295000.0
SMITHBUCKLIN CORPORATION,35684,5,7,288000.0
STRATEGIC MARKETING INNOVATIONS,60550,12,12,280000.0
